,hits@1,hits@3,hits@10,hits@50,hits@100
/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,0.9523809523809523,1.0,1.0,1.0,1.0
/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed_inv,0.5714285714285714,0.8095238095238095,1.0,1.0,1.0
/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,0.0,0.0,0.0,0.0,0.0
/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant_inv,0.0,0.0,0.0,0.0,0.0
/base/popstra/celebrity/dated./base/popstra/dated/participant,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727
/base/popstra/celebrity/dated./base/popstra/dated/participant_inv,0.0,0.0,0.0,0.2727272727272727,0.45454545454545453
/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.03125,0.0625,0.25,0.375,0.53125
/base/popstra/celebrity/friendship./base/popstra/friendship/participant_inv,0.03125,0.09375,0.1875,0.375,0.5625
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,0.06451612903225806,0.16129032258064516,0.3225806451612903,0.6129032258064516,0.7741935483870968
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer_inv,0.0967741935483871,0.2903225806451613,0.4838709677419355,0.7096774193548387,0.7741935483870968
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,0.6666666666666666,1.0,1.0,1.0,1.0
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members_inv,1.0,1.0,1.0,1.0,1.0
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,0.9,1.0,1.0,1.0,1.0
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category_inv,0.25,0.35,0.5,0.75,0.95
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,0.8095238095238095,0.8095238095238095,0.9523809523809523,1.0,1.0
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language_inv,0.7142857142857143,0.9047619047619048,0.9523809523809523,1.0,1.0
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,0.34210526315789475,0.6052631578947368,0.7631578947368421,0.8947368421052632,0.9210526315789473
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location_inv,0.2894736842105263,0.42105263157894735,0.7105263157894737,0.8947368421052632,0.9210526315789473
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,0.9833333333333333,1.0,1.0,1.0,1.0
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency_inv,0.0,0.016666666666666666,0.03333333333333333,0.16666666666666666,0.25
/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,0.034482758620689655,0.10344827586206896,0.20689655172413793,0.4482758620689655,0.5517241379310345
